FIPS,CountyName,Metro_area,NOFO_Region,EMS_Region,AmerInd_Alaskan,Asian_PacIsl,Black_AfriAmer,White,Hispanic,Not_Hispanic,Total_Population
17,Cass,,Central,3,87,102,657,11414,2359,9901,12260
21,Christian,,Central,3,96,226,690,31649,540,32121,32661
61,Greene,,Central,3,38,38,220,12748,167,12877,13044
107,Logan,,Central,3,120,243,2587,25975,1017,27908,28925
115,Macon,Decatur,Central,6,327,1476,20053,82856,2459,102253,104712
117,Macoupin,St_Louis,Central,3,184,207,624,44298,578,44735,45313
129,Menard,Springfield,Central,3,41,61,172,12014,192,12096,12288
135,Montgomery,,Central,3,68,167,1117,27249,501,28100,28601
137,Morgan,,Central,3,162,296,2698,30820,843,33133,33976
167,Sangamon,Springfield,Central,3,639,4567,27571,162571,4592,190756,195348
171,Scott,,Central,3,12,12,48,4854,64,4862,4926
173,Shelby,,Central,6,51,84,152,21454,230,21511,21741
43,DuPage,Chicago,Collar,8,4388,122173,52363,749665,134231,794358,928589
63,Grundy,Chicago,Collar,7,193,572,1074,49133,5207,45765,50972
89,Kane,Elgin,Collar,9,6225,25318,34779,467894,172268,361948,534216
91,Kankakee,Kankakee,Collar,7,518,1382,17524,90600,11692,98332,110024
93,Kendall,Chicago,Collar,7,756,4708,10540,111911,24898,103017,127915
97,Lake,Lake,Collar,9,6863,61918,55843,576208,155395,545437,700832
111,McHenry,Chicago,Collar,9,1787,10257,6249,290277,41498,267072,308570
197,Will,Chicago,Collar,7,3863,43819,87777,556851,123504,568806,692310
39,De Witt,Bloomington,North Central,6,45,86,205,15433,465,15304,15769
57,Fulton,,North Central,2,247,140,1511,32946,1082,33762,34844
105,Livingston,,North Central,2,116,385,1736,33524,1655,34106,35761
123,Marshall,Peoria,North Central,2,53,64,147,11270,343,11191,11534
125,Mason,,North Central,3,56,70,154,13285,149,13416,13565
113,McLean,Bloomington,North Central,2,579,9867,15844,146538,8750,164078,172828
143,Peoria,Peoria,North Central,2,838,7997,36496,135290,8878,171743,180621
175,Stark,Peoria,North Central,2,15,39,76,5297,109,5318,5427
179,Tazewell,Peoria,North Central,2,474,1465,2333,128056,3070,129258,132328
203,Woodford,Peoria,North Central,2,108,342,418,37595,726,37737,38463
19,Champaign,Champaign-Urbana,Northeast Central,6,891,24514,30608,153970,12798,197185,209983
41,Douglas,,Northeast Central,6,72,141,205,19061,1405,18074,19479
53,Ford,Champaign-Urbana,Northeast Central,6,50,78,215,12921,471,12793,13264
75,Iroquois,,Northeast Central,6,111,172,471,26850,1983,25621,27604
147,Piatt,Champaign-Urbana,Northeast Central,6,36,84,186,16090,224,16172,16396
183,Vermilion,Danville,Northeast Central,6,363,796,11708,63939,3999,72807,76806
7,Boone,Rockford,Northern,1,508,971,1819,50279,12005,41572,53577
37,DeKalb,Elgin,Northern,1,552,3349,8988,91254,11921,92222,104143
141,Ogle,,Northern,1,194,441,912,49376,5237,45686,50923
177,Stephenson,,Northern,1,147,362,5385,38859,1871,42882,44753
201,Winnebago,Rockford,Northern,1,1897,8971,42076,231137,37271,246810,284081
11,Bureau,,Northwest,2,170,365,515,31943,3122,29871,32993
15,Carroll,,Northwest,1,66,89,245,13912,553,13759,14312
73,Henry,Davenport,Northwest,2,162,289,1263,47376,2955,46135,49090
85,Jo Daviess,,Northwest,1,70,138,237,20921,664,20702,21366
99,LaSalle,,Northwest,2,486,1146,3663,104135,10973,98457,109430
103,Lee,,Northwest,1,136,324,2118,31645,2176,32047,34223
131,Mercer,Davenport,Northwest,2,39,86,198,15278,391,15210,15601
155,Putnam,,Northwest,2,20,41,80,5599,339,5401,5740
161,Rock Island,Davenport,Northwest,2,1023,4336,17623,120495,18801,124676,143477
195,Whiteside,,Northwest,1,306,358,1422,53540,6741,48885,55626
23,Clark,,Southeast Central,6,46,77,123,15350,246,15350,15596
25,Clay,,Southeast Central,6,35,120,119,12979,218,13035,13253
29,Coles,,Southeast Central,6,156,690,2389,47650,1374,49511,50885
33,Crawford,,Southeast Central,6,75,136,1057,17539,418,18389,18807
35,Cumberland,,Southeast Central,6,21,83,102,10602,115,10693,10808
45,Edgar,,Southeast Central,6,44,69,164,17083,217,17143,17360
49,Effingham,,Southeast Central,6,96,293,310,33509,752,33456,34208
51,Fayette,,Southeast Central,6,69,91,1048,20208,391,21025,21416
79,Jasper,,Southeast Central,6,20,33,65,9493,147,9464,9611
101,Lawrence,,Southeast Central,6,69,85,1659,13952,613,15152,15765
121,Marion,,Southeast Central,5,151,286,2018,35165,794,36826,37620
139,Moultrie,,Southeast Central,6,38,54,148,14477,225,14492,14717
159,Richland,,Southeast Central,6,59,152,205,15347,289,15474,15763
3,Alexander,Cape_Girardeau,Southern,5,33,33,2043,3951,110,5950,6060
47,Edwards,,Southern,5,34,27,60,6271,102,6290,6392
55,Franklin,,Southern,5,169,177,416,37939,685,38016,38701
59,Gallatin,,Southern,5,28,12,66,4952,87,4971,5058
65,Hamilton,,Southern,5,36,31,91,8005,140,8023,8163
69,Hardin,,Southern,5,29,25,43,3813,88,3822,3910
77,Jackson,Carbondale-Marion,Southern,5,400,2359,9405,45255,2594,54825,57419
81,Jefferson,,Southern,5,142,494,3758,33426,1058,36762,37820
87,Johnson,,Southern,5,49,46,923,11438,392,12064,12456
127,Massac,,Southern,5,80,101,1018,12881,418,13662,14080
145,Perry,,Southern,5,99,147,2081,18847,682,20492,21174
151,Pope,,Southern,5,34,21,256,3901,67,4145,4212
153,Pulaski,,Southern,5,44,32,1787,3600,125,5338,5463
157,Randolph,,Southern,4,110,204,3541,28251,1002,31104,32106
165,Saline,,Southern,5,126,199,1151,22430,452,23454,23906
181,Union,,Southern,5,128,90,325,16298,900,15941,16841
185,Wabash,,Southern,5,33,159,169,11188,330,11219,11549
191,Wayne,,Southern,5,55,127,153,15997,252,16080,16332
193,White,,Southern,5,57,74,147,13387,203,13462,13665
199,Williamson,Carbondale-Marion,Southern,5,372,986,3646,62052,1848,65208,67056
5,Bond,St_Louis,Southwest Central,4,124,155,1126,15225,601,16029,16630
13,Calhoun,St_Louis,Southwest Central,3,13,16,32,4741,61,4741,4802
27,Clinton,St_Louis,Southwest Central,4,141,281,1547,35670,1186,36453,37639
83,Jersey,St_Louis,Southwest Central,3,80,201,245,21321,324,21523,21847
119,Madison,St_Louis,Southwest Central,4,1100,3482,25177,234702,8942,255519,264461
133,Monroe,St_Louis,Southwest Central,4,83,282,220,33750,529,33806,34335
163,St. Clair,St_Louis,Southwest Central,4,1323,5263,82355,172118,10900,250159,261059
189,Washington,,Southwest Central,4,28,71,192,13704,202,13793,13995
31,Cook,Chicago,Suburban,7,45967,429034,1264754,3440738,1323017,3857476,5180493
1,Adams,,West Central,3,214,716,3222,61539,1091,64600,65691
9,Brown,,West Central,3,88,33,1255,5180,437,6119,6556
67,Hancock,,West Central,3,70,97,183,17494,287,17557,17844
71,Henderson,,West Central,2,20,36,58,6595,132,6577,6709
95,Knox,,West Central,2,235,589,4822,44466,2934,47178,50112
109,McDonough,,West Central,2,130,747,1855,27223,837,29118,29955
149,Pike,,West Central,3,37,57,278,15239,192,15419,15611
169,Schuyler,,West Central,3,13,30,271,6593,129,6778,6907
187,Warren,,West Central,2,81,476,618,15857,1645,15387,17032
