County,NOFO_Region
Adams,West Central
Alexander,Southern
Bond,Southwest Central
Boone,Northern
Brown,West Central
Bureau,Northwest
Calhoun,Southwest Central
Carroll,Northwest
Cass,Central
Champaign,Northeast Central
Christian,Central
Clark,Southeast Central
Clay,Southeast Central
Clinton,Southwest Central
Coles,Southeast Central
Cook,Suburban
Crawford,Southeast Central
Cumberland,Southeast Central
DeKalb,Northern
DeWitt,North Central
Douglas,Northeast Central
DuPage,Collar
Edgar,Southeast Central
Edwards,Southern
Effingham,Southeast Central
Fayette,Southeast Central
Ford,Northeast Central
Franklin,Southern
Fulton,North Central
Gallatin,Southern
Greene,Central
Grundy,Collar
Hamilton,Southern
Hancock,West Central
Hardin,Southern
Henderson,West Central
Henry,Northwest
Iroquois,Northeast Central
Jackson,Southern
Jasper,Southeast Central
Jefferson,Southern
Jersey,Southwest Central
Jo Daviess,Northwest
Johnson,Southern
Kane,Collar
Kankakee,Collar
Kendall,Collar
Knox,West Central
Lake,Collar
LaSalle,Northwest
Lawrence,Southeast Central
Lee,Northwest
Livingston,North Central
Logan,Central
Macon,Central
Macoupin,Central
Madison,Southwest Central
Marion,Southeast Central
Marshall,North Central
Mason,North Central
Massac,Southern
McDonough,West Central
McHenry,Collar
McLean,North Central
Menard,Central
Mercer,Northwest
Monroe,Southwest Central
Montgomery,Central
Morgan,Central
Moultrie,Southeast Central
Ogle,Northern
Peoria,North Central
Perry,Southern
Piatt,Northeast Central
Pike,West Central
Pope,Southern
Pulaski,Southern
Putnam,Northwest
Randolph,Southern
Richland,Southeast Central
Rock Island,Northwest
Saline,Southern
Sangamon,Central
Schuyler,West Central
Scott,Central
Shelby,Central
St. Clair,Southwest Central
Stark,North Central
Stephenson,Northern
Tazewell,North Central
Union,Southern
Vermilion,Northeast Central
Wabash,Southern
Warren,West Central
Washington,Southwest Central
Wayne,Southern
White,Southern
Whiteside,Northwest
Will,Collar
Williamson,Southern
Winnebago,Northern
Woodford,North Central
